gene,drought_2_cnt
A2J10_04T0127800.1,38
A2J10_04T0127800.2,38
A2J10_03T0289800.1,521
A2J10_03T0289800.2,464
A2J10_10T0030400.1,7
A2J10_03T0229200.1,96
A2J10_09T0029100.1,18
A2J10_01T0406600.2,343
A2J10_01T0406600.1,334
A2J10_10T0109800.1,66
A2J10_05T0044900.1,36
A2J10_01T0212500.1,98
A2J10_02T0257300.3,1
A2J10_02T0257300.4,1
A2J10_02T0257300.2,17
A2J10_02T0257300.1,17
A2J10_05T0024200.1,71
A2J10_04T0299300.2,253
A2J10_04T0299300.1,233
A2J10_04T0299300.3,186
A2J10_03T0070000.1,292
A2J10_03T0070000.2,328
A2J10_03T0029300.1,6
A2J10_07T0283000.1,1025
A2J10_08T0180000.1,17
A2J10_04T0267800.2,533
A2J10_04T0267800.1,128
A2J10_04T0267800.3,192
A2J10_04T0267800.4,23
A2J10_01T0402000.1,81
A2J10_08T0039300.1,1
A2J10_02T0403400.3,350
A2J10_02T0403400.1,342
A2J10_02T0403400.4,84
A2J10_02T0403400.2,251
A2J10_09T0211700.1,272
A2J10_09T0211700.3,272
A2J10_09T0211700.4,272
A2J10_09T0211700.2,273
A2J10_02T0376400.1,135
A2J10_11T0008200.4,669
A2J10_11T0008200.6,862
A2J10_11T0008200.5,499
A2J10_11T0008200.2,463
A2J10_11T0008200.3,684
A2J10_11T0008200.1,624
A2J10_03T0235700.1,2
A2J10_02T0173400.1,5
A2J10_02T0173400.3,12
A2J10_02T0173400.2,12
A2J10_06T0179400.1,3
A2J10_05T0090100.1,171
A2J10_01T0173100.1,1
A2J10_01T0173100.2,1
A2J10_01T0173100.3,1
A2J10_08T0009500.1,68
A2J10_08T0009500.3,53
A2J10_08T0009500.4,36
A2J10_08T0009500.2,58
A2J10_01T0360500.1,13
A2J10_06T0023600.1,2
A2J10_06T0175600.1,31
A2J10_02T0267300.1,91
A2J10_09T0195800.4,293
A2J10_09T0195800.2,498
A2J10_10T0075500.1,20
A2J10_05T0207400.5,553
A2J10_05T0207400.4,556
A2J10_05T0207400.1,659
A2J10_05T0207400.3,611
A2J10_05T0207400.2,684
A2J10_02T0031500.2,463
A2J10_02T0031500.4,411
A2J10_02T0031500.3,441
A2J10_02T0031500.1,479
A2J10_04T0297800.1,3
A2J10_10T0099900.1,1
A2J10_03T0151700.1,67
A2J10_02T0251800.1,6903
A2J10_10T0170000.3,750
A2J10_10T0170000.1,738
A2J10_10T0170000.5,827
A2J10_10T0170000.2,629
A2J10_10T0170000.4,756
A2J10_06T0053400.3,2011
A2J10_06T0053400.2,1778
A2J10_06T0053400.1,1944
A2J10_03T0064100.1,3
A2J10_03T0246500.1,20
A2J10_03T0246500.2,10
A2J10_03T0380500.1,1107
A2J10_03T0034900.1,126
A2J10_03T0034900.2,105
A2J10_05T0229300.2,54
A2J10_05T0229300.1,331
A2J10_10T0006300.1,2671
A2J10_10T0006300.2,2686
A2J10_10T0006300.3,2502
A2J10_09T0208700.1,25
A2J10_07T0035100.1,195
A2J10_09T0213000.1,44
A2J10_05T0050800.1,103
A2J10_05T0050800.2,103
A2J10_09T0038900.2,1045
A2J10_09T0038900.4,1092
A2J10_09T0038900.1,1035
A2J10_09T0038900.3,883
A2J10_09T0140800.1,9
A2J10_02T0129800.1,1
A2J10_07T0241100.1,185
A2J10_04T0203900.1,424
A2J10_04T0203900.2,380
A2J10_12T0109700.1,206
A2J10_02T0027100.1,364
A2J10_05T0173100.1,43
A2J10_09T0062300.1,20
A2J10_05T0062000.1,2
A2J10_02T0083100.1,11
A2J10_06T0190000.1,1586
A2J10_10T0074300.5,1435
A2J10_10T0074300.3,1473
A2J10_10T0074300.6,1358
A2J10_10T0074300.4,1421
A2J10_10T0074300.2,1477
A2J10_10T0074300.1,1556
A2J10_01T0345300.1,39
A2J10_07T0194200.1,297
A2J10_07T0194200.2,312
A2J10_02T0084900.1,71
A2J10_02T0084900.2,70
A2J10_10T0188500.1,841
A2J10_10T0188500.3,111
A2J10_10T0188500.2,821
A2J10_07T0000500.1,24
A2J10_04T0272600.1,376
A2J10_03T0299000.1,81
A2J10_06T0295000.3,45
A2J10_06T0295000.1,45
A2J10_06T0295000.2,45
A2J10_04T0189300.1,18
A2J10_05T0016400.1,125
A2J10_06T0299500.1,3
A2J10_06T0254000.1,799
A2J10_07T0014500.1,28
A2J10_03T0217000.1,295
A2J10_03T0217000.2,314
A2J10_05T0206800.2,145
A2J10_05T0206800.1,130
A2J10_05T0234000.1,28
A2J10_02T0367700.1,280
A2J10_02T0146200.1,101
A2J10_10T0129200.1,27
A2J10_10T0010700.1,257
A2J10_02T0067700.1,850
A2J10_01T0185700.1,227
A2J10_04T0124100.1,9
A2J10_04T0124100.3,9
A2J10_04T0124100.2,9
A2J10_12T0042000.1,11
A2J10_06T0054800.1,1
A2J10_01T0209700.3,54
A2J10_01T0209700.1,45
A2J10_01T0209700.2,25
A2J10_01T0093200.1,1123
A2J10_01T0093200.2,785
A2J10_07T0142600.1,406
A2J10_09T0034400.1,818
A2J10_09T0034400.2,782
A2J10_02T0082000.1,43
A2J10_05T0144600.1,30
A2J10_09T0076300.1,694
A2J10_07T0270200.1,306
A2J10_07T0270200.3,348
A2J10_07T0270200.4,404
A2J10_07T0270200.2,236
A2J10_12T0194700.1,114
A2J10_12T0194700.2,127
A2J10_12T0194700.3,125
A2J10_12T0051700.1,8
A2J10_03T0261100.1,45
A2J10_08T0183600.1,1
A2J10_08T0175000.1,4
A2J10_08T0169400.1,267
A2J10_03T0359800.2,90
A2J10_03T0359800.3,83
A2J10_03T0359800.1,99
A2J10_11T0066100.1,64
A2J10_08T0174800.1,384
A2J10_04T0279500.2,426
A2J10_04T0279500.1,426
A2J10_04T0219500.1,325
A2J10_03T0242300.1,131
A2J10_06T0220800.1,141
A2J10_04T0216000.1,201
A2J10_08T0098000.2,46
A2J10_08T0098000.1,74
A2J10_05T0122600.1,6
A2J10_02T0366300.1,97
A2J10_04T0119600.1,204
A2J10_11T0042500.1,977
A2J10_07T0003500.1,192
A2J10_03T0368600.2,199
A2J10_03T0368600.1,196
A2J10_06T0302200.2,198
A2J10_06T0302200.3,221
A2J10_06T0302200.1,217
A2J10_06T0299000.1,143
A2J10_04T0072500.1,35
A2J10_09T0031100.1,161
A2J10_10T0089600.1,193
A2J10_01T0460900.1,111
A2J10_06T0144200.1,3
A2J10_12T0128000.1,2346
A2J10_12T0128000.2,1914
A2J10_11T0222300.1,61
A2J10_03T0026600.4,1782
A2J10_03T0026600.1,860
A2J10_03T0026600.3,1633
A2J10_03T0026600.2,868
A2J10_02T0330400.1,25
A2J10_09T0045100.1,173
A2J10_04T0213400.1,88
A2J10_04T0029800.1,7
A2J10_04T0029800.2,7
A2J10_02T0418100.1,62
A2J10_06T0016400.1,634
A2J10_06T0016400.2,519
A2J10_02T0135000.1,185
A2J10_12T0159300.1,286
A2J10_10T0022400.1,190
A2J10_07T0288100.1,198
A2J10_06T0083600.1,2032
A2J10_07T0253700.1,235
A2J10_07T0253700.2,251
A2J10_10T0183800.1,1074
A2J10_01T0503500.4,375
A2J10_01T0503500.2,372
A2J10_01T0503500.3,385
A2J10_01T0503500.1,392
A2J10_02T0040000.1,42
A2J10_07T0002100.2,255
A2J10_07T0002100.1,279
A2J10_01T0327000.1,75
A2J10_08T0125800.1,471
A2J10_08T0125800.2,469
A2J10_01T0088700.2,536
A2J10_01T0088700.1,525
A2J10_06T0043500.2,27
A2J10_06T0043500.1,60
A2J10_03T0171800.1,3262
A2J10_02T0040800.2,711
A2J10_02T0040800.1,771
A2J10_07T0017900.3,29
A2J10_07T0017900.1,40
A2J10_01T0296300.2,55
A2J10_01T0296300.1,74
A2J10_03T0325900.1,420
A2J10_03T0089400.1,8
A2J10_01T0325000.1,9
A2J10_01T0353700.1,90
A2J10_01T0353700.2,90
