gene,drought_3_cnt
A2J10_06T0299000.1,169
A2J10_04T0072500.1,78
A2J10_09T0031100.1,190
A2J10_10T0089600.1,168
A2J10_01T0460900.1,136
A2J10_06T0144200.1,2
A2J10_12T0128000.1,2190
A2J10_12T0128000.2,1708
A2J10_11T0222300.1,72
A2J10_03T0026600.4,1621
A2J10_03T0026600.1,798
A2J10_03T0026600.3,1553
A2J10_03T0026600.2,792
A2J10_02T0330400.1,8
A2J10_09T0045100.1,228
A2J10_04T0213400.1,83
A2J10_08T0096100.1,1
A2J10_04T0029800.1,25
A2J10_04T0029800.2,25
A2J10_02T0418100.1,49
A2J10_06T0016400.1,617
A2J10_06T0016400.2,490
A2J10_02T0135000.1,164
A2J10_04T0051000.1,10
A2J10_12T0159300.1,336
A2J10_10T0022400.1,172
A2J10_07T0288100.1,102
A2J10_06T0083600.1,2855
A2J10_07T0253700.1,303
A2J10_07T0253700.2,323
A2J10_10T0183800.1,1121
A2J10_01T0503500.4,450
A2J10_01T0503500.2,451
A2J10_01T0503500.3,484
A2J10_01T0503500.1,485
A2J10_02T0040000.1,49
A2J10_07T0002100.2,228
A2J10_07T0002100.1,241
A2J10_01T0327000.1,116
A2J10_08T0125800.1,450
A2J10_08T0125800.2,446
A2J10_01T0088700.2,444
A2J10_01T0088700.1,435
A2J10_06T0043500.2,8
A2J10_06T0043500.1,51
A2J10_03T0171800.1,2360
A2J10_02T0040800.2,850
A2J10_02T0040800.1,921
A2J10_07T0017900.3,25
A2J10_07T0017900.1,35
A2J10_01T0296300.2,24
A2J10_01T0296300.1,29
A2J10_03T0325900.1,401
A2J10_01T0325000.1,6
A2J10_01T0353700.1,109
A2J10_01T0353700.2,117
A2J10_01T0353700.3,110
A2J10_09T0188600.1,70
A2J10_09T0192700.1,476
A2J10_07T0172100.1,2
A2J10_03T0352300.3,48
A2J10_03T0352300.2,50
A2J10_03T0352300.1,48
A2J10_08T0020700.3,213
A2J10_08T0020700.1,210
A2J10_08T0020700.2,176
A2J10_04T0122800.1,81
A2J10_04T0122800.2,65
A2J10_04T0122800.3,36
A2J10_04T0013700.2,57
A2J10_04T0013700.1,58
A2J10_08T0224000.1,3
A2J10_06T0298500.2,478
A2J10_06T0298500.3,414
A2J10_06T0298500.4,230
A2J10_06T0298500.1,474
A2J10_03T0088200.1,712
A2J10_08T0029600.1,53
A2J10_01T0454000.1,5
A2J10_05T0200500.2,2
A2J10_05T0200500.1,11
A2J10_08T0072400.2,866
A2J10_08T0072400.3,764
A2J10_08T0072400.1,870
A2J10_06T0201800.1,1717
A2J10_08T0083400.1,3
A2J10_08T0021000.1,3540
A2J10_02T0099200.1,837
A2J10_10T0039600.1,395
A2J10_05T0243800.1,24
A2J10_05T0243800.2,24
A2J10_02T0371200.1,108
A2J10_02T0331200.1,60
A2J10_02T0299300.1,5
A2J10_06T0222300.2,4
A2J10_06T0228800.1,389
A2J10_12T0020800.1,280
A2J10_06T0226900.1,55
A2J10_05T0068200.1,370
A2J10_11T0174200.1,7
A2J10_11T0174200.2,7
A2J10_02T0293200.2,26
A2J10_02T0293200.1,22
A2J10_04T0291800.1,6
A2J10_10T0108500.1,2
A2J10_10T0108500.4,1
A2J10_10T0108500.3,238
A2J10_10T0108500.5,247
A2J10_10T0108500.2,252
A2J10_02T0289500.1,4
A2J10_03T0024000.1,5
A2J10_02T0198600.1,927
A2J10_02T0198600.2,844
A2J10_04T0099000.1,11
A2J10_07T0264100.1,423
A2J10_06T0265900.1,28
A2J10_01T0393600.1,15
A2J10_03T0022100.2,293
A2J10_03T0022100.1,251
A2J10_11T0130400.1,6
A2J10_01T0506700.1,149
A2J10_03T0130400.1,22651
A2J10_02T0274900.1,732
A2J10_02T0186900.1,38
A2J10_08T0178100.1,25
A2J10_02T0346000.2,259
A2J10_02T0346000.3,214
A2J10_02T0346000.1,216
A2J10_03T0306100.1,234
A2J10_01T0497200.1,76
A2J10_03T0316700.1,221
A2J10_03T0316700.2,221
A2J10_02T0374700.3,59
A2J10_02T0374700.1,38
A2J10_02T0374700.2,59
A2J10_02T0078100.1,109
A2J10_04T0171500.1,6
A2J10_03T0313300.1,436
A2J10_04T0157400.1,172
A2J10_07T0293800.1,837
A2J10_02T0256000.1,82
A2J10_01T0246200.2,729
A2J10_01T0246200.1,729
A2J10_01T0246200.3,149
A2J10_01T0246200.4,37
A2J10_05T0220100.1,2
A2J10_08T0077300.4,10
A2J10_08T0077300.1,26
A2J10_08T0077300.3,24
A2J10_08T0077300.2,26
A2J10_08T0077300.5,12
A2J10_04T0224000.1,26
A2J10_05T0089500.1,47
A2J10_07T0295000.1,447
A2J10_08T0017000.1,303
A2J10_08T0017000.3,345
A2J10_08T0017000.2,306
A2J10_05T0104000.1,2813
A2J10_05T0104000.2,2663
A2J10_06T0154400.1,141
A2J10_07T0150200.1,74
A2J10_09T0145500.1,24
A2J10_02T0081900.1,1
A2J10_03T0276600.2,172
A2J10_03T0276600.4,70
A2J10_03T0276600.3,167
A2J10_03T0276600.1,168
A2J10_05T0251500.5,627
A2J10_05T0251500.7,17
A2J10_05T0251500.2,749
A2J10_05T0251500.6,616
A2J10_05T0251500.1,691
A2J10_05T0251500.4,735
A2J10_05T0251500.3,770
A2J10_07T0183100.1,2
A2J10_03T0346700.1,1118
A2J10_02T0379000.1,8
A2J10_09T0107900.1,1250
A2J10_01T0385000.1,212
A2J10_09T0135000.1,295
A2J10_06T0287200.1,87
A2J10_06T0287200.3,86
A2J10_06T0287200.2,94
A2J10_10T0133600.6,58
A2J10_10T0133600.4,80
A2J10_10T0133600.3,80
A2J10_10T0133600.2,78
A2J10_10T0133600.5,8
A2J10_10T0133600.1,80
A2J10_01T0117100.1,82
A2J10_01T0117100.2,85
A2J10_11T0143200.2,100
A2J10_11T0143200.4,74
A2J10_11T0143200.1,99
A2J10_11T0143200.3,123
A2J10_11T0215900.1,66
A2J10_10T0181700.5,59
A2J10_10T0181700.1,213
A2J10_10T0181700.4,103
A2J10_10T0181700.3,107
A2J10_10T0181700.2,211
A2J10_05T0032000.2,312
A2J10_05T0032000.3,279
A2J10_05T0032000.1,342
A2J10_05T0032000.4,255
A2J10_06T0252100.1,11
A2J10_06T0252100.3,30
A2J10_06T0252100.2,11
A2J10_05T0201500.1,115
A2J10_12T0130500.4,13
A2J10_12T0130500.3,433
A2J10_12T0130500.1,436
A2J10_12T0130500.2,438
A2J10_12T0130500.5,19
A2J10_02T0270600.1,174
A2J10_09T0004700.1,16
A2J10_05T0176400.1,1299
A2J10_11T0112900.1,1
A2J10_05T0030700.2,184
A2J10_05T0030700.1,181
A2J10_01T0144000.1,1
A2J10_04T0009600.1,62
A2J10_06T0100000.2,250
A2J10_06T0100000.6,233
A2J10_06T0100000.4,239
A2J10_06T0100000.5,200
A2J10_06T0100000.9,30
A2J10_06T0100000.3,217
A2J10_06T0100000.1,282
A2J10_06T0100000.8,224
A2J10_06T0100000.7,237
A2J10_05T0176000.1,459
A2J10_01T0386000.3,1162
A2J10_01T0386000.2,1031
A2J10_01T0386000.4,188
A2J10_01T0386000.1,1006
A2J10_01T0296500.2,92
A2J10_01T0296500.1,80
A2J10_11T0014200.1,932
A2J10_02T0266200.2,99
A2J10_02T0266200.7,77
A2J10_02T0266200.5,46
A2J10_02T0266200.1,108
A2J10_02T0266200.4,108
A2J10_02T0266200.6,107
A2J10_02T0266200.3,40
A2J10_07T0127400.1,79
A2J10_01T0507700.1,569
A2J10_05T0207000.3,410
A2J10_05T0207000.2,490
A2J10_05T0207000.1,471
A2J10_11T0158200.1,4
A2J10_05T0196100.1,28
A2J10_08T0160200.1,275
A2J10_08T0160200.2,6
A2J10_06T0294800.1,164
A2J10_06T0294800.2,163
A2J10_10T0168300.2,1553
A2J10_10T0168300.1,1124
