gene,control_1_cnt
A2J10_02T0404700.2,2518
A2J10_04T0270300.1,1725
A2J10_02T0241300.1,21
A2J10_09T0041200.2,262
A2J10_09T0041200.1,107
A2J10_09T0041200.3,115
A2J10_07T0136200.1,10
A2J10_09T0120700.1,7
A2J10_04T0251200.1,24
A2J10_04T0251200.4,14
A2J10_04T0251200.2,19
A2J10_04T0251200.3,19
A2J10_01T0042400.1,26
A2J10_04T0151800.1,329
A2J10_04T0112900.1,475
A2J10_04T0112900.2,476
A2J10_04T0301600.1,345
A2J10_08T0091200.1,7
A2J10_08T0091200.2,7
A2J10_06T0086600.1,1
A2J10_01T0337800.1,126
A2J10_05T0172700.1,899
A2J10_04T0176600.1,19
A2J10_06T0189100.1,61
A2J10_09T0161600.2,98
A2J10_09T0161600.1,86
A2J10_07T0112100.1,310
A2J10_07T0237500.1,119
A2J10_01T0014300.1,203
A2J10_03T0029900.8,28
A2J10_03T0029900.3,9
A2J10_03T0029900.7,19
A2J10_03T0029900.4,11
A2J10_03T0029900.1,4
A2J10_03T0029900.6,16
A2J10_03T0029900.5,5
A2J10_03T0113400.2,444
A2J10_03T0113400.4,702
A2J10_03T0113400.5,195
A2J10_03T0113400.1,488
A2J10_03T0113400.3,438
A2J10_03T0293600.1,7219
A2J10_04T0127400.3,134
A2J10_04T0127400.2,149
A2J10_04T0127400.1,140
A2J10_11T0039600.1,4
A2J10_01T0029100.1,36
A2J10_01T0061000.1,943
A2J10_01T0061000.2,940
A2J10_03T0341500.1,334
A2J10_12T0045900.1,58
A2J10_02T0047800.1,7
A2J10_06T0261700.1,36
A2J10_01T0387300.1,43
A2J10_01T0218500.1,20
A2J10_03T0061500.1,1644
A2J10_03T0061500.2,1436
A2J10_03T0061500.3,1593
A2J10_02T0115100.1,2
A2J10_02T0320200.1,23
A2J10_03T0027300.1,34
A2J10_01T0378900.1,176
A2J10_01T0372000.1,217
A2J10_09T0031600.1,91
A2J10_01T0489500.3,1
A2J10_01T0489500.2,1
A2J10_06T0266100.1,1128
A2J10_06T0266100.2,1056
A2J10_10T0105200.2,150
A2J10_10T0105200.4,109
A2J10_10T0105200.1,434
A2J10_10T0105200.3,185
A2J10_01T0509100.1,903
A2J10_11T0008400.1,362
A2J10_07T0143800.1,2
A2J10_06T0070700.1,455
A2J10_06T0070700.2,461
A2J10_01T0037100.1,684
A2J10_05T0203200.1,677
A2J10_05T0203200.5,3
A2J10_05T0203200.3,666
A2J10_05T0203200.2,743
A2J10_05T0203200.4,732
A2J10_08T0145500.1,108
A2J10_08T0105100.1,833
A2J10_07T0005900.1,4168
A2J10_02T0413400.1,4
A2J10_11T0050300.1,1894
A2J10_10T0056200.1,26
A2J10_06T0001900.1,1987
A2J10_02T0379900.4,1449
A2J10_02T0379900.1,1318
A2J10_02T0379900.5,1364
A2J10_02T0379900.2,1317
A2J10_02T0379900.3,1404
A2J10_01T0145100.1,45
A2J10_01T0145100.2,60
A2J10_07T0286900.1,3
A2J10_05T0183900.1,99
A2J10_05T0183900.2,89
A2J10_03T0351600.1,1955
A2J10_05T0033700.1,37
A2J10_10T0186500.1,1159
A2J10_10T0186500.4,142
A2J10_10T0186500.2,1001
A2J10_10T0186500.3,1014
A2J10_01T0398300.1,397
A2J10_01T0055600.1,119
A2J10_10T0049500.1,2
A2J10_06T0055400.1,2
A2J10_12T0010400.1,1
A2J10_01T0402700.1,270
A2J10_04T0128000.9,401
A2J10_04T0128000.6,456
A2J10_04T0128000.2,353
A2J10_04T0128000.7,404
A2J10_04T0128000.3,405
A2J10_04T0128000.10,277
A2J10_04T0128000.1,348
A2J10_04T0128000.5,273
A2J10_04T0128000.4,334
A2J10_04T0128000.8,331
A2J10_08T0220000.1,5
A2J10_03T0345700.2,762
A2J10_03T0345700.1,1049
A2J10_01T0128200.1,13
A2J10_03T0217900.1,14
A2J10_03T0224200.1,107
A2J10_07T0170700.1,4
A2J10_04T0248900.1,38
A2J10_04T0248900.2,47
A2J10_01T0382100.1,11
A2J10_05T0217100.1,663
A2J10_11T0118600.1,156
A2J10_06T0001700.1,3
A2J10_11T0184400.2,2313
A2J10_11T0184400.1,2063
A2J10_08T0050900.1,29
A2J10_02T0027300.1,2
A2J10_05T0202000.1,510
A2J10_12T0166800.1,1167
A2J10_06T0067500.1,262
A2J10_08T0033600.2,614
A2J10_08T0033600.1,663
A2J10_07T0217900.1,1159
A2J10_02T0039100.1,9
A2J10_02T0063500.1,908
A2J10_01T0049300.1,1076
A2J10_01T0403900.1,9
A2J10_03T0053600.1,78
A2J10_01T0191400.2,999
A2J10_01T0191400.1,1044
A2J10_03T0023300.2,75
A2J10_03T0023300.1,52
A2J10_10T0083400.1,48
A2J10_03T0033200.1,719
A2J10_03T0371900.2,24
A2J10_03T0371900.1,242
A2J10_07T0086300.1,86
A2J10_03T0303200.1,174
A2J10_03T0303200.2,192
A2J10_09T0140500.1,2
A2J10_09T0111600.1,1875
A2J10_02T0291600.1,164
A2J10_04T0260700.1,2159
A2J10_03T0037700.1,11
A2J10_03T0093900.1,1
A2J10_02T0271100.1,3
A2J10_02T0272200.1,145
A2J10_10T0095500.1,34
A2J10_08T0033400.1,2157
A2J10_02T0037800.2,253
A2J10_02T0037800.1,2
A2J10_02T0211100.1,34
A2J10_02T0190100.1,253
A2J10_11T0097400.2,1620
A2J10_11T0097400.1,1494
A2J10_09T0195200.1,16
A2J10_04T0111200.1,302
A2J10_08T0011600.1,14
A2J10_03T0376800.2,3831
A2J10_03T0376800.1,3384
A2J10_02T0361300.1,37
A2J10_08T0103700.1,269
A2J10_09T0206500.1,194
A2J10_05T0113200.1,1498
A2J10_02T0279200.1,4
A2J10_06T0046500.1,121
A2J10_01T0108600.2,345
A2J10_01T0108600.1,338
A2J10_01T0108600.3,347
A2J10_03T0383700.1,23
A2J10_01T0079800.1,14
A2J10_02T0279700.1,2220
A2J10_11T0140300.1,10
A2J10_03T0232500.1,40
A2J10_12T0108400.1,3
A2J10_05T0135200.1,20
A2J10_01T0408100.1,42
A2J10_05T0144700.5,48
A2J10_05T0144700.3,48
A2J10_05T0144700.2,36
A2J10_05T0144700.9,22
A2J10_05T0144700.8,17
A2J10_05T0144700.1,31
A2J10_05T0144700.6,49
A2J10_05T0144700.4,45
A2J10_05T0144700.7,12
A2J10_01T0276700.1,63
A2J10_02T0046700.1,27
A2J10_02T0391800.1,407
A2J10_02T0391800.4,318
A2J10_02T0391800.3,276
A2J10_02T0391800.5,324
A2J10_02T0391800.2,446
A2J10_04T0283600.1,90
A2J10_04T0197200.1,4
A2J10_04T0039700.1,1
A2J10_02T0381000.1,3
A2J10_03T0012800.1,41
A2J10_08T0052100.1,968
A2J10_08T0052100.2,1024
A2J10_05T0181200.1,512
A2J10_07T0005600.1,252
A2J10_05T0267400.1,19
A2J10_07T0157900.1,2900
A2J10_02T0332200.1,26
A2J10_02T0332200.2,32
A2J10_10T0180200.1,2
A2J10_07T0008700.1,40
A2J10_03T0041200.1,65
A2J10_03T0041200.2,16
A2J10_03T0041200.3,55
A2J10_06T0145200.2,15
A2J10_04T0319100.1,59
A2J10_07T0220300.1,57
A2J10_03T0345300.1,220
A2J10_07T0214500.3,110
A2J10_07T0214500.2,123
A2J10_07T0214500.1,133
A2J10_06T0290600.1,881
A2J10_06T0290600.2,332
A2J10_07T0236700.1,1
A2J10_06T0006600.2,4097
A2J10_06T0006600.1,4096
A2J10_08T0193200.1,1
A2J10_07T0293900.2,16
A2J10_07T0293900.1,14
A2J10_07T0293900.3,13
A2J10_03T0366100.1,33
A2J10_12T0004000.1,21
A2J10_05T0118100.4,844
A2J10_05T0118100.3,857
A2J10_05T0118100.5,731
A2J10_05T0118100.1,837
A2J10_05T0118100.2,819
A2J10_09T0170300.1,361
A2J10_08T0162800.1,353
A2J10_04T0121100.1,38
A2J10_02T0381600.1,2
A2J10_11T0041300.1,27
A2J10_10T0076800.1,4
A2J10_01T0133800.1,143
A2J10_02T0289900.2,121
A2J10_02T0289900.1,69
A2J10_01T0111400.1,2154
A2J10_09T0178100.1,601
A2J10_04T0160000.1,190
A2J10_07T0200500.1,85
A2J10_12T0027200.5,33
A2J10_12T0027200.4,69
A2J10_12T0027200.1,72
A2J10_12T0027200.3,69
A2J10_12T0027200.2,71
A2J10_03T0354200.1,25
A2J10_03T0021500.1,152
A2J10_09T0171700.1,20
A2J10_03T0009600.1,42
A2J10_08T0155800.1,7
A2J10_07T0105800.2,36
A2J10_07T0105800.1,4
A2J10_04T0110600.1,524
A2J10_10T0168900.1,94
A2J10_03T0214600.1,53
A2J10_01T0433800.2,352
A2J10_01T0433800.1,287
A2J10_01T0433800.3,443
A2J10_02T0220000.1,666
A2J10_12T0015400.2,2
A2J10_12T0015400.1,4
A2J10_02T0081100.2,44
A2J10_02T0081100.1,61
A2J10_11T0001900.1,277
A2J10_09T0007200.1,111
A2J10_11T0193900.1,492
A2J10_01T0492800.1,1134
A2J10_11T0211600.1,95
A2J10_10T0138800.2,439
A2J10_10T0138800.7,413
A2J10_10T0138800.6,458
A2J10_10T0138800.3,412
A2J10_10T0138800.1,392
A2J10_10T0138800.5,399
A2J10_10T0138800.4,332
A2J10_02T0090800.1,11
A2J10_02T0110400.1,2
A2J10_06T0105900.1,5
A2J10_06T0003600.2,273
A2J10_06T0003600.1,356
A2J10_06T0303700.3,5394
A2J10_06T0303700.1,5597
A2J10_06T0303700.2,5508
A2J10_09T0075200.1,105
A2J10_01T0368500.1,428
A2J10_11T0116600.2,852
A2J10_11T0116600.1,626
A2J10_02T0326300.2,56
A2J10_02T0326300.3,48
A2J10_02T0326300.1,83
A2J10_01T0118100.2,176
A2J10_01T0118100.1,168
A2J10_04T0105000.1,9313
A2J10_07T0126600.1,8
A2J10_07T0100200.1,29
A2J10_07T0100200.2,29
A2J10_11T0029700.1,5
A2J10_06T0268200.2,63
A2J10_06T0268200.3,74
A2J10_06T0268200.1,110
A2J10_06T0268200.4,90
A2J10_03T0262700.1,822
A2J10_02T0122700.2,4
A2J10_02T0122700.1,4
A2J10_02T0259300.1,52
A2J10_05T0196700.1,2151
A2J10_04T0127300.1,1810
A2J10_03T0312600.1,139
A2J10_03T0312600.2,152
A2J10_09T0013800.3,13
A2J10_09T0013800.2,1734
A2J10_09T0013800.1,1518
A2J10_11T0193200.1,502
A2J10_05T0214700.1,643
A2J10_05T0214700.3,21
A2J10_05T0214700.2,707
A2J10_02T0259100.1,9
A2J10_06T0008300.1,1046
A2J10_09T0029500.1,32
A2J10_01T0326200.2,762
A2J10_01T0326200.1,771
A2J10_11T0031700.1,366
A2J10_03T0149400.1,310
A2J10_12T0049400.1,1
A2J10_02T0420700.2,187
A2J10_02T0420700.3,171
A2J10_02T0420700.1,164
A2J10_01T0086800.1,231
A2J10_03T0375600.1,1322
A2J10_11T0022600.2,452
A2J10_11T0022600.3,498
A2J10_11T0022600.1,374
A2J10_01T0215100.2,124
A2J10_01T0215100.3,124
A2J10_01T0215100.1,125
A2J10_12T0078500.1,20
A2J10_02T0108100.2,685
A2J10_02T0108100.1,734
A2J10_02T0108100.3,650
A2J10_11T0175500.2,48
A2J10_11T0175500.4,46
A2J10_11T0175500.1,40
A2J10_11T0175500.5,124
A2J10_11T0175500.3,37
A2J10_02T0416100.1,189
A2J10_05T0165500.1,1428
A2J10_10T0089200.1,327
A2J10_09T0124300.1,30
A2J10_01T0180000.1,321
A2J10_01T0180000.4,225
A2J10_01T0180000.3,298
A2J10_01T0180000.5,98
A2J10_01T0180000.2,349
A2J10_02T0193400.1,1995
A2J10_08T0074700.1,11
A2J10_09T0085600.1,226
A2J10_04T0319000.1,1299
A2J10_03T0032600.2,536
A2J10_03T0032600.4,615
A2J10_03T0032600.1,464
A2J10_06T0245600.2,520
A2J10_06T0245600.1,507
A2J10_01T0497900.1,100
A2J10_06T0199400.1,160
A2J10_06T0199400.2,42
A2J10_03T0250400.2,2141
A2J10_03T0250400.3,2181
A2J10_03T0250400.1,2150
A2J10_06T0235600.1,43
A2J10_05T0179800.1,19
A2J10_12T0012600.1,484
A2J10_11T0042200.1,7
A2J10_11T0042200.2,7
A2J10_08T0028900.1,3024
A2J10_01T0433100.1,862
A2J10_01T0433100.3,647
A2J10_01T0433100.2,891
A2J10_12T0052700.2,647
A2J10_12T0052700.1,635
A2J10_08T0001200.1,919
A2J10_05T0126100.1,528
A2J10_04T0137400.1,726
A2J10_01T0434900.1,714
A2J10_06T0090400.1,225
A2J10_02T0078200.1,4
A2J10_02T0078200.2,4
A2J10_07T0196800.1,24
A2J10_10T0133200.2,401
A2J10_10T0133200.1,429
A2J10_05T0101200.1,428
A2J10_07T0197400.1,38
A2J10_02T0267600.1,233
A2J10_02T0401700.1,56
A2J10_11T0161900.1,88
A2J10_01T0028300.1,91
A2J10_02T0191700.2,77
A2J10_02T0191700.3,77
A2J10_02T0191700.1,78
A2J10_08T0044200.1,120
A2J10_08T0081500.1,148
A2J10_10T0167100.1,29
A2J10_10T0167100.2,36
A2J10_10T0121100.1,1846
A2J10_10T0121100.2,1777
A2J10_08T0211600.1,1
A2J10_11T0058000.1,6
A2J10_12T0167000.4,138
A2J10_12T0167000.2,137
A2J10_12T0167000.5,93
A2J10_12T0167000.3,121
A2J10_12T0167000.1,111
A2J10_09T0191600.1,12
A2J10_07T0209200.1,138
A2J10_09T0209700.2,911
A2J10_09T0209700.1,308
A2J10_07T0237000.1,168
A2J10_02T0346700.1,984
A2J10_02T0346700.2,903
A2J10_02T0279100.5,199
A2J10_02T0279100.2,146
A2J10_02T0279100.4,221
A2J10_02T0279100.1,169
A2J10_02T0279100.3,160
A2J10_02T0163900.1,766
A2J10_12T0175200.1,94
A2J10_07T0289100.1,35
A2J10_11T0201000.1,56
A2J10_03T0121700.1,271
A2J10_10T0082200.1,404
A2J10_03T0026800.2,1811
A2J10_03T0026800.1,1739
A2J10_01T0277200.1,3080
A2J10_03T0189700.4,6
A2J10_03T0077100.1,843
A2J10_11T0142500.1,2917
A2J10_11T0142500.2,3552
A2J10_04T0179400.1,122
A2J10_10T0187600.1,229
A2J10_10T0187600.2,229
A2J10_06T0261000.1,1223
A2J10_08T0199000.1,1
A2J10_06T0039100.1,91
A2J10_02T0120600.1,1
A2J10_01T0178400.1,1
A2J10_07T0273900.1,494
A2J10_02T0021600.1,107
A2J10_02T0021600.2,106
A2J10_02T0021600.3,66
A2J10_10T0033200.1,1
A2J10_01T0017400.1,97
A2J10_07T0207300.1,1
A2J10_05T0183600.1,55
A2J10_08T0055600.1,13
A2J10_10T0150400.1,37
A2J10_10T0063300.4,2
A2J10_10T0063300.2,2
A2J10_10T0063300.1,1
A2J10_10T0063300.5,1
A2J10_10T0063300.3,1
A2J10_06T0030000.2,171
A2J10_06T0030000.1,244
A2J10_03T0334400.3,461
A2J10_03T0334400.2,361
A2J10_03T0334400.1,232
A2J10_02T0161600.1,43
A2J10_12T0019800.1,6
A2J10_07T0017000.1,2
A2J10_02T0339500.2,10
A2J10_02T0339500.3,11
A2J10_02T0339500.1,11
A2J10_08T0185700.1,81
A2J10_07T0015300.1,11
A2J10_09T0025300.1,13
A2J10_02T0184500.1,28
A2J10_02T0351600.1,56
A2J10_07T0107000.5,168
A2J10_07T0107000.4,189
A2J10_07T0107000.2,158
A2J10_07T0107000.1,169
A2J10_07T0107000.3,154
A2J10_04T0207200.7,96
A2J10_04T0207200.5,253
A2J10_04T0207200.6,101
A2J10_04T0207200.3,206
A2J10_04T0207200.2,219
A2J10_04T0207200.4,226
A2J10_04T0207200.1,224
A2J10_05T0198100.1,652
A2J10_06T0215300.1,2347
A2J10_04T0281600.3,2326
A2J10_04T0281600.2,1609
A2J10_04T0281600.1,1611
A2J10_04T0245700.1,16
A2J10_02T0012700.1,361
A2J10_10T0075400.1,10
A2J10_03T0044300.1,34
A2J10_03T0196200.1,819
A2J10_11T0195500.1,35
A2J10_02T0084500.1,627
A2J10_06T0195400.1,84
A2J10_01T0220400.1,614
A2J10_06T0080000.1,67
A2J10_01T0456400.2,459
A2J10_01T0456400.1,451
A2J10_01T0456400.3,473
A2J10_01T0456400.5,456
A2J10_01T0456400.4,460
A2J10_10T0131100.2,245
A2J10_10T0131100.1,259
A2J10_02T0048500.1,22
A2J10_10T0160800.4,1
A2J10_10T0171500.1,476
A2J10_07T0169800.1,1321
A2J10_06T0038900.1,10
A2J10_01T0455400.1,702
A2J10_12T0180100.1,1245
A2J10_03T0039600.1,4
A2J10_09T0101700.1,2
A2J10_02T0079200.1,7
A2J10_01T0170100.1,2
A2J10_07T0066000.1,2
A2J10_10T0059200.1,1750
A2J10_04T0272000.1,1342
A2J10_01T0304600.5,737
A2J10_01T0304600.2,324
A2J10_01T0304600.4,720
A2J10_01T0304600.3,329
A2J10_01T0304600.6,705
A2J10_01T0304600.1,307
A2J10_08T0060500.5,695
A2J10_08T0060500.6,770
A2J10_08T0060500.2,1113
A2J10_08T0060500.4,938
A2J10_08T0060500.1,966
A2J10_08T0060500.7,1233
A2J10_08T0060500.3,744
A2J10_03T0103400.1,2927
A2J10_03T0103400.2,2983
A2J10_07T0161700.1,282
A2J10_09T0166800.1,251
A2J10_09T0166800.2,424
A2J10_02T0416000.1,15
A2J10_12T0044700.1,35
A2J10_12T0183300.1,918
A2J10_02T0207000.1,5
A2J10_10T0144100.1,2231
A2J10_09T0057900.1,301
A2J10_04T0176300.3,397
A2J10_04T0176300.1,389
A2J10_04T0176300.4,301
A2J10_04T0176300.2,304
A2J10_02T0132300.1,2
A2J10_06T0026600.1,107
A2J10_09T0130900.1,33
A2J10_09T0096500.1,1278
A2J10_03T0182600.1,18
A2J10_03T0185100.1,40
A2J10_01T0078300.3,520
A2J10_01T0078300.2,600
A2J10_01T0078300.1,515
A2J10_01T0078300.4,698
A2J10_08T0054100.1,3082
A2J10_08T0054100.2,2789
A2J10_01T0400100.1,19
A2J10_04T0311600.1,1324
A2J10_04T0125100.2,354
A2J10_04T0125100.1,341
A2J10_04T0125100.4,225
A2J10_04T0125100.3,355
A2J10_11T0029800.1,1304
A2J10_01T0289300.4,228
A2J10_01T0289300.2,275
A2J10_01T0289300.3,438
A2J10_01T0289300.5,197
A2J10_01T0289300.1,264
A2J10_12T0141400.2,80
A2J10_12T0141400.1,79
A2J10_06T0147300.1,11
A2J10_03T0207500.1,175
A2J10_02T0296200.1,701
A2J10_06T0092800.1,1436
A2J10_05T0253000.1,21
A2J10_09T0170700.1,1503
A2J10_10T0041200.2,14
A2J10_10T0041200.1,4
A2J10_07T0159000.1,45
A2J10_03T0233000.2,503
A2J10_03T0233000.3,20
A2J10_03T0233000.1,510
A2J10_04T0212700.1,77
A2J10_09T0028100.1,5283
A2J10_08T0003700.1,5
A2J10_05T0118600.1,471
A2J10_10T0108200.1,3
A2J10_05T0182500.1,519
A2J10_08T0224600.1,326
A2J10_10T0134900.1,340
A2J10_03T0229300.1,2524
A2J10_12T0045000.1,539
A2J10_10T0152900.3,1901
A2J10_10T0152900.2,2096
A2J10_10T0152900.1,1866
A2J10_01T0503800.1,77
A2J10_09T0101100.1,1702
A2J10_04T0104500.1,56
A2J10_04T0104500.5,87
A2J10_04T0104500.3,48
A2J10_04T0104500.2,48
A2J10_04T0104500.4,48
A2J10_01T0299300.1,1
A2J10_08T0150200.1,2981
A2J10_09T0162000.1,20
A2J10_09T0162000.2,152
A2J10_03T0115000.1,717
A2J10_12T0022000.2,506
A2J10_12T0022000.1,502
A2J10_06T0155800.1,1427
A2J10_03T0118700.1,154
A2J10_03T0245000.1,18
A2J10_01T0217500.1,3
A2J10_09T0204400.1,145
A2J10_05T0066000.1,13
A2J10_02T0329300.1,56
A2J10_01T0155700.1,15
A2J10_12T0107300.1,76
A2J10_06T0126900.1,20
A2J10_06T0262800.2,180
A2J10_06T0262800.1,1171
A2J10_10T0046400.1,1324
A2J10_06T0049200.1,1946
A2J10_06T0123600.1,4
A2J10_06T0123600.2,14
A2J10_03T0286000.1,10
A2J10_03T0092600.1,1171
A2J10_08T0056700.1,1191
A2J10_05T0251000.2,2467
A2J10_05T0251000.1,2651
A2J10_09T0110600.1,5
A2J10_05T0094000.2,59
A2J10_05T0094000.3,16
A2J10_05T0094000.1,31
A2J10_11T0123000.1,18
A2J10_07T0208200.1,183
A2J10_06T0121100.1,3349
A2J10_06T0196400.1,12
A2J10_06T0196400.2,10
A2J10_06T0028900.1,8
A2J10_10T0110300.1,3
A2J10_07T0067300.1,331
A2J10_04T0181000.1,1084
A2J10_04T0181000.2,956
A2J10_09T0087600.1,10
A2J10_10T0137800.1,720
A2J10_05T0258800.1,719
A2J10_07T0143000.1,7
A2J10_07T0143000.2,5
A2J10_12T0115500.1,658
A2J10_08T0127500.2,45
A2J10_05T0070500.2,482
A2J10_05T0070500.1,501
A2J10_08T0047500.1,969
A2J10_06T0090200.1,386
A2J10_03T0005900.1,5
A2J10_10T0176200.4,23
A2J10_10T0176200.1,24
A2J10_10T0176200.6,28
A2J10_10T0176200.5,30
A2J10_10T0176200.3,28
A2J10_10T0176200.7,27
A2J10_10T0176200.2,36
A2J10_06T0206000.3,2
A2J10_06T0206000.1,2
A2J10_11T0127900.1,53
A2J10_01T0244800.1,213810
A2J10_11T0197300.1,123
A2J10_04T0069700.1,3
A2J10_04T0290400.1,312
A2J10_09T0068700.1,465
A2J10_09T0068700.4,435
A2J10_09T0068700.2,505
A2J10_09T0068700.3,506
A2J10_07T0249100.1,1287
A2J10_01T0287000.1,3
A2J10_07T0151700.2,255
A2J10_07T0151700.1,243
A2J10_04T0279200.1,1304
A2J10_10T0112600.3,462
A2J10_10T0112600.1,478
A2J10_10T0112600.4,522
A2J10_10T0112600.2,517
A2J10_10T0112600.5,506
A2J10_10T0181800.2,812
A2J10_10T0181800.1,821
A2J10_02T0366000.1,909
A2J10_02T0366000.2,850
A2J10_02T0046200.1,1
A2J10_11T0161300.1,395
A2J10_08T0180600.1,12
A2J10_05T0101600.3,545
A2J10_05T0101600.2,223
A2J10_05T0101600.1,224
A2J10_03T0052800.1,1
A2J10_04T0304200.1,13
A2J10_07T0152200.2,1032
A2J10_07T0152200.5,659
A2J10_07T0152200.6,131
A2J10_07T0152200.3,1055
A2J10_07T0152200.1,1014
A2J10_07T0152200.7,899
A2J10_07T0152200.4,1054
A2J10_02T0100700.1,12
A2J10_05T0048900.1,388
A2J10_05T0048900.2,386
A2J10_01T0013000.1,43
A2J10_07T0159400.1,6816
A2J10_03T0253500.1,2
A2J10_05T0207500.1,6
A2J10_09T0208400.3,316
A2J10_09T0208400.7,131
A2J10_09T0208400.4,240
A2J10_09T0208400.6,24
A2J10_09T0208400.2,304
A2J10_09T0208400.1,330
A2J10_09T0208400.5,231
A2J10_09T0208400.8,9
A2J10_08T0002300.1,735
A2J10_01T0114400.1,198
A2J10_12T0037400.1,29
A2J10_08T0133100.1,1473
A2J10_12T0052600.1,52
A2J10_05T0174500.1,712
A2J10_10T0075900.1,685
A2J10_01T0229400.1,117
A2J10_07T0006600.1,38
A2J10_02T0167200.1,22
A2J10_07T0055700.1,1
A2J10_03T0228300.1,262
A2J10_09T0094000.1,1
A2J10_02T0069300.1,884
A2J10_02T0069300.3,871
A2J10_02T0069300.2,871
A2J10_02T0069300.4,603
A2J10_03T0189900.1,310
A2J10_03T0384200.1,556
A2J10_03T0384200.2,616
A2J10_02T0278000.1,132
A2J10_05T0267200.1,1041
A2J10_05T0267200.2,1177
A2J10_05T0144000.1,118
A2J10_11T0023800.1,85
A2J10_03T0060200.1,6
A2J10_03T0373800.1,4
A2J10_08T0219400.1,282
A2J10_10T0120900.1,254
A2J10_12T0095000.1,2867
A2J10_07T0210700.1,89
A2J10_06T0220100.1,72
A2J10_04T0113200.3,81
A2J10_04T0113200.2,104
A2J10_04T0113200.1,65
A2J10_09T0109600.1,789
A2J10_08T0208900.1,775
A2J10_09T0108300.1,246
A2J10_10T0115200.1,626
A2J10_03T0015000.1,10
A2J10_01T0318700.2,255
A2J10_01T0318700.3,260
A2J10_01T0318700.1,208
A2J10_07T0275800.1,23
A2J10_01T0226000.1,46
A2J10_11T0076600.6,139
A2J10_11T0076600.7,134
A2J10_11T0076600.1,227
A2J10_11T0076600.5,80
A2J10_11T0076600.2,232
A2J10_11T0076600.4,172
A2J10_11T0076600.3,186
A2J10_11T0076600.8,119
A2J10_01T0284700.1,378
A2J10_01T0284700.2,462
A2J10_01T0284700.3,26
A2J10_05T0253500.1,2
A2J10_05T0160600.2,416
A2J10_05T0160600.3,482
A2J10_05T0160600.1,400
A2J10_10T0029100.1,11
A2J10_03T0284700.1,707
A2J10_07T0152500.1,446
A2J10_07T0152500.2,396
A2J10_12T0010700.2,553
A2J10_12T0010700.1,553
A2J10_02T0387800.1,1753
A2J10_02T0349100.1,2051
A2J10_03T0220800.1,28
A2J10_09T0133900.1,286
A2J10_09T0133900.3,57
A2J10_09T0133900.2,258
A2J10_06T0018400.1,1
A2J10_06T0018400.3,1
A2J10_05T0154100.1,9
A2J10_05T0019300.1,564
A2J10_05T0151200.2,203
A2J10_05T0151200.1,64
A2J10_05T0104700.2,4
A2J10_05T0104700.3,4
A2J10_05T0104700.1,4
A2J10_05T0117200.1,17
A2J10_06T0099000.1,161
A2J10_04T0282200.1,2319
A2J10_04T0282200.3,28
A2J10_04T0282200.2,1989
A2J10_03T0341800.1,3259
A2J10_05T0192800.2,1
A2J10_02T0099800.1,1393
A2J10_09T0065200.1,7
A2J10_09T0063900.1,5
A2J10_09T0063900.2,5
A2J10_07T0040500.1,376
A2J10_03T0285300.2,3127
A2J10_03T0285300.1,3158
A2J10_09T0063800.1,349
A2J10_05T0075900.1,28
A2J10_11T0152200.1,418
A2J10_05T0140900.1,1
A2J10_03T0333500.1,541
A2J10_04T0308100.1,216
A2J10_03T0027200.1,109
A2J10_10T0160600.1,28
A2J10_10T0019200.1,133
A2J10_07T0047900.1,1
A2J10_02T0387500.1,25
A2J10_01T0125200.1,11
A2J10_03T0121600.1,49
A2J10_02T0362100.1,383
A2J10_08T0204900.1,11
A2J10_08T0204900.2,10
A2J10_04T0077700.1,56
A2J10_12T0119900.1,399
A2J10_05T0179700.2,796
A2J10_05T0179700.1,376
A2J10_04T0144700.1,130
A2J10_02T0387400.1,876
A2J10_09T0030100.1,92
A2J10_07T0232900.1,132
A2J10_07T0232900.2,140
A2J10_07T0115200.1,4
A2J10_02T0054000.1,807
A2J10_02T0065000.1,335
A2J10_02T0300400.1,9
A2J10_11T0036500.1,691
A2J10_04T0280300.1,590
A2J10_01T0380800.1,14
A2J10_11T0127600.4,321
A2J10_11T0127600.6,306
A2J10_11T0127600.5,108
A2J10_11T0127600.3,305
A2J10_11T0127600.7,294
A2J10_11T0127600.1,312
A2J10_11T0127600.2,282
A2J10_10T0009100.1,4
A2J10_03T0132600.1,3073
A2J10_01T0443700.1,8
A2J10_02T0008200.1,56
A2J10_02T0341800.1,989
A2J10_08T0054400.1,48
A2J10_08T0054400.2,30
A2J10_08T0054400.3,37
A2J10_09T0156000.1,370
A2J10_09T0156000.2,385
A2J10_06T0219000.2,246
A2J10_06T0219000.1,230
A2J10_04T0280200.1,665
A2J10_04T0280200.2,606
A2J10_09T0008400.1,6
A2J10_12T0142000.1,42
A2J10_01T0044100.1,16
A2J10_05T0137000.3,184
A2J10_05T0137000.2,176
A2J10_11T0090700.3,286
A2J10_11T0090700.2,342
A2J10_11T0090700.1,362
A2J10_03T0217400.1,705
A2J10_09T0179400.1,212
A2J10_10T0185300.2,642
A2J10_10T0185300.1,471
A2J10_09T0201300.1,123
A2J10_06T0007600.1,107
A2J10_07T0223900.1,984
A2J10_07T0164500.3,454
A2J10_07T0164500.2,1554
A2J10_07T0164500.1,1372
A2J10_05T0255200.1,2243
A2J10_02T0359000.1,35
A2J10_04T0145800.2,1
A2J10_02T0223700.1,25
