gene,control_1_cnt
A2J10_11T0042500.1,1923
A2J10_07T0003500.1,555
A2J10_03T0368600.2,287
A2J10_03T0368600.1,274
A2J10_06T0302200.2,691
A2J10_06T0302200.3,768
A2J10_06T0302200.1,783
A2J10_06T0299000.1,344
A2J10_04T0072500.1,114
A2J10_09T0031100.1,479
A2J10_10T0089600.1,385
A2J10_01T0460900.1,225
A2J10_06T0144200.1,1
A2J10_12T0128000.1,3596
A2J10_12T0128000.2,2872
A2J10_11T0222300.1,84
A2J10_03T0026600.4,1732
A2J10_03T0026600.1,862
A2J10_03T0026600.3,1600
A2J10_03T0026600.2,859
A2J10_02T0330400.1,14
A2J10_09T0045100.1,334
A2J10_04T0213400.1,68
A2J10_08T0096100.1,1
A2J10_04T0029800.1,1
A2J10_04T0029800.2,1
A2J10_02T0418100.1,71
A2J10_06T0016400.1,1011
A2J10_06T0016400.2,818
A2J10_02T0135000.1,152
A2J10_04T0051000.1,8
A2J10_12T0159300.1,528
A2J10_10T0022400.1,84
A2J10_07T0288100.1,125
A2J10_06T0083600.1,5758
A2J10_07T0253700.1,486
A2J10_07T0253700.2,501
A2J10_10T0183800.1,1466
A2J10_01T0503500.4,660
A2J10_01T0503500.2,652
A2J10_01T0503500.3,665
A2J10_01T0503500.1,667
A2J10_02T0040000.1,74
A2J10_07T0002100.2,213
A2J10_07T0002100.1,240
A2J10_01T0327000.1,162
A2J10_08T0125800.1,593
A2J10_08T0125800.2,584
A2J10_01T0088700.2,584
A2J10_01T0088700.1,576
A2J10_06T0043500.2,72
A2J10_06T0043500.1,115
A2J10_03T0171800.1,1841
A2J10_02T0040800.2,1096
A2J10_02T0040800.1,1188
A2J10_07T0017900.3,66
A2J10_07T0017900.1,74
A2J10_07T0017900.2,1
A2J10_01T0296300.2,20
A2J10_01T0296300.1,28
A2J10_03T0325900.1,601
A2J10_03T0089400.1,8
A2J10_01T0325000.1,28
A2J10_01T0353700.1,435
A2J10_01T0353700.2,436
A2J10_01T0353700.3,457
A2J10_09T0188600.1,68
A2J10_09T0192700.1,686
A2J10_03T0352300.3,39
A2J10_03T0352300.2,42
A2J10_03T0352300.1,42
A2J10_08T0020700.3,309
A2J10_08T0020700.1,308
A2J10_08T0020700.2,252
A2J10_04T0122800.1,108
A2J10_04T0122800.2,69
A2J10_04T0122800.3,49
A2J10_04T0013700.2,108
A2J10_04T0013700.1,114
A2J10_08T0224000.1,41
A2J10_06T0298500.2,683
A2J10_06T0298500.3,585
A2J10_06T0298500.4,318
A2J10_06T0298500.1,674
A2J10_03T0088200.1,899
A2J10_08T0029600.1,104
A2J10_01T0454000.1,6
A2J10_05T0200500.2,13
A2J10_05T0200500.1,35
A2J10_08T0072400.2,1343
A2J10_08T0072400.3,1215
A2J10_08T0072400.1,1352
A2J10_06T0201800.1,2832
A2J10_08T0236600.1,13
A2J10_08T0083400.1,1
A2J10_08T0021000.1,4461
A2J10_02T0099200.1,1097
A2J10_10T0039600.1,416
A2J10_05T0243800.1,8
A2J10_05T0243800.2,8
A2J10_02T0371200.1,245
A2J10_02T0331200.1,135
A2J10_02T0299300.1,11
A2J10_06T0222300.2,6
A2J10_06T0222300.1,4
A2J10_06T0222300.3,4
A2J10_06T0228800.1,532
A2J10_12T0020800.1,350
A2J10_06T0226900.1,96
A2J10_05T0068200.1,577
A2J10_11T0174200.1,11
A2J10_11T0174200.2,11
A2J10_02T0293200.2,49
A2J10_02T0293200.1,38
A2J10_04T0291800.1,44
A2J10_10T0108500.1,8
A2J10_10T0108500.3,259
A2J10_10T0108500.5,279
A2J10_10T0108500.2,300
A2J10_02T0289500.1,14
A2J10_03T0024000.1,120
A2J10_02T0198600.1,1670
A2J10_02T0198600.2,1522
A2J10_04T0099000.1,39
A2J10_07T0264100.1,749
A2J10_06T0265900.1,43
A2J10_01T0393600.1,78
A2J10_03T0022100.2,428
A2J10_03T0022100.1,358
A2J10_11T0130400.1,6
A2J10_01T0506700.1,99
A2J10_03T0130400.1,24554
A2J10_02T0274900.1,939
A2J10_02T0186900.1,63
A2J10_08T0178100.1,18
A2J10_02T0346000.2,351
A2J10_02T0346000.3,314
A2J10_02T0346000.1,324
A2J10_03T0306100.1,375
A2J10_01T0497200.1,124
A2J10_03T0316700.1,324
A2J10_03T0316700.2,327
A2J10_02T0374700.3,143
A2J10_02T0374700.1,120
A2J10_02T0374700.2,149
A2J10_02T0078100.1,195
A2J10_04T0171500.1,11
A2J10_03T0313300.1,398
A2J10_04T0157400.1,153
A2J10_07T0293800.1,433
A2J10_02T0256000.1,103
A2J10_01T0246200.2,1195
A2J10_01T0246200.1,1197
A2J10_01T0246200.3,278
A2J10_01T0246200.4,48
A2J10_05T0220100.1,31
A2J10_08T0077300.4,15
A2J10_08T0077300.1,64
A2J10_08T0077300.3,55
A2J10_08T0077300.2,64
A2J10_08T0077300.5,39
A2J10_04T0224000.1,17
A2J10_05T0089500.1,68
A2J10_07T0295000.1,583
A2J10_08T0017000.1,429
A2J10_08T0017000.3,487
A2J10_08T0017000.2,419
A2J10_05T0104000.1,3582
A2J10_05T0104000.2,3403
A2J10_06T0154400.1,285
A2J10_01T0376300.1,1
A2J10_07T0150200.1,115
A2J10_09T0145500.1,57
A2J10_02T0081900.1,11
A2J10_03T0276600.2,186
A2J10_03T0276600.4,169
A2J10_03T0276600.3,182
A2J10_03T0276600.1,185
A2J10_05T0251500.5,1097
A2J10_05T0251500.7,51
A2J10_05T0251500.2,1398
A2J10_05T0251500.6,1043
A2J10_05T0251500.1,1270
A2J10_05T0251500.4,1306
A2J10_05T0251500.3,1452
A2J10_03T0346700.1,1978
A2J10_02T0379000.1,26
A2J10_09T0107900.1,1879
A2J10_01T0385000.1,240
A2J10_09T0135000.1,277
A2J10_06T0287200.1,208
A2J10_06T0287200.3,201
A2J10_06T0287200.2,193
A2J10_10T0133600.6,90
A2J10_10T0133600.4,130
A2J10_10T0133600.3,126
A2J10_10T0133600.2,119
A2J10_10T0133600.5,28
A2J10_10T0133600.1,131
A2J10_01T0117100.1,92
A2J10_01T0117100.2,90
A2J10_08T0191000.1,1
A2J10_11T0143200.2,126
A2J10_11T0143200.4,101
A2J10_11T0143200.1,126
A2J10_11T0143200.3,161
A2J10_11T0215900.1,59
A2J10_10T0181700.5,48
A2J10_10T0181700.1,303
A2J10_10T0181700.4,134
A2J10_10T0181700.3,126
A2J10_10T0181700.2,300
A2J10_05T0032000.2,288
A2J10_05T0032000.3,252
A2J10_05T0032000.1,322
A2J10_05T0032000.4,233
A2J10_06T0252100.1,12
A2J10_06T0252100.3,16
A2J10_06T0252100.2,11
A2J10_05T0201500.1,147
A2J10_12T0130500.4,54
A2J10_12T0130500.3,533
A2J10_12T0130500.1,533
A2J10_12T0130500.2,546
A2J10_12T0130500.5,54
A2J10_02T0270600.1,324
A2J10_09T0004700.1,24
A2J10_05T0176400.1,1692
A2J10_11T0112900.1,1
A2J10_05T0030700.2,279
A2J10_05T0030700.1,264
A2J10_04T0009600.1,85
A2J10_06T0100000.2,502
A2J10_06T0100000.6,411
A2J10_06T0100000.4,437
A2J10_06T0100000.5,394
A2J10_06T0100000.9,40
A2J10_06T0100000.3,398
A2J10_06T0100000.1,528
A2J10_06T0100000.8,378
A2J10_06T0100000.7,426
A2J10_05T0176000.1,639
A2J10_01T0486600.1,1
A2J10_01T0386000.3,1621
A2J10_01T0386000.2,1379
A2J10_01T0386000.4,261
A2J10_01T0386000.1,1450
A2J10_01T0296500.2,200
A2J10_01T0296500.1,147
A2J10_11T0014200.1,1344
A2J10_02T0266200.2,119
A2J10_02T0266200.7,104
A2J10_02T0266200.5,37
A2J10_02T0266200.1,121
A2J10_02T0266200.4,160
A2J10_02T0266200.6,141
A2J10_02T0266200.3,35
A2J10_07T0127400.1,95
A2J10_01T0507700.1,848
A2J10_05T0207000.3,821
A2J10_05T0207000.2,952
A2J10_05T0207000.1,920
A2J10_11T0158200.1,5
A2J10_05T0196100.1,72
A2J10_12T0105900.1,2
A2J10_08T0160200.1,593
A2J10_08T0160200.2,5
A2J10_06T0294800.1,207
A2J10_06T0294800.2,206
A2J10_10T0168300.2,1931
A2J10_10T0168300.1,1385
A2J10_10T0168300.3,1864
A2J10_04T0267200.1,489
A2J10_09T0101300.1,145
A2J10_06T0127300.1,1296
A2J10_08T0029300.1,27
A2J10_01T0171300.1,7
A2J10_07T0044800.1,1855
A2J10_09T0022900.1,49
A2J10_07T0272500.1,4
A2J10_07T0272500.3,30
A2J10_07T0272500.2,12
A2J10_07T0291600.1,221
A2J10_05T0272400.1,1750
A2J10_03T0110300.1,67
A2J10_04T0089500.1,1
A2J10_09T0080700.1,21130
A2J10_07T0186900.1,224
A2J10_03T0044400.1,72
A2J10_09T0202100.1,65
A2J10_09T0151300.1,814
A2J10_09T0151300.3,776
A2J10_09T0151300.2,774
A2J10_04T0126600.1,137
A2J10_02T0225800.1,4
A2J10_11T0173800.2,12
A2J10_11T0173800.1,6
A2J10_02T0049300.2,302
A2J10_02T0049300.1,263
A2J10_05T0193400.1,87
A2J10_05T0193400.3,119
A2J10_05T0193400.4,34
A2J10_05T0193400.2,133
A2J10_04T0258500.1,1
A2J10_03T0047800.1,1008
A2J10_08T0091000.1,5
A2J10_04T0006900.1,204
A2J10_03T0079500.1,110
